store_id,item_id,day_id,date,actual_units,date_key
CA_1,FOODS_3_001,d_1914,2016-04-25,0.0,20160425
CA_1,FOODS_3_001,d_1915,2016-04-26,0.0,20160426
CA_1,FOODS_3_001,d_1916,2016-04-27,0.0,20160427
CA_1,FOODS_3_001,d_1917,2016-04-28,0.0,20160428
CA_1,FOODS_3_001,d_1918,2016-04-29,0.0,20160429
CA_1,FOODS_3_001,d_1919,2016-04-30,0.0,20160430
CA_1,FOODS_3_001,d_1920,2016-05-01,0.0,20160501
CA_1,FOODS_3_001,d_1921,2016-05-02,0.0,20160502
CA_1,FOODS_3_001,d_1922,2016-05-03,0.0,20160503
CA_1,FOODS_3_001,d_1923,2016-05-04,0.0,20160504
CA_1,FOODS_3_001,d_1924,2016-05-05,1.0,20160505
CA_1,FOODS_3_001,d_1925,2016-05-06,0.0,20160506
CA_1,FOODS_3_001,d_1926,2016-05-07,0.0,20160507
CA_1,FOODS_3_001,d_1927,2016-05-08,0.0,20160508
CA_1,FOODS_3_001,d_1928,2016-05-09,0.0,20160509
CA_1,FOODS_3_001,d_1929,2016-05-10,0.0,20160510
CA_1,FOODS_3_001,d_1930,2016-05-11,0.0,20160511
CA_1,FOODS_3_001,d_1931,2016-05-12,0.0,20160512
CA_1,FOODS_3_001,d_1932,2016-05-13,0.0,20160513
CA_1,FOODS_3_001,d_1933,2016-05-14,0.0,20160514
CA_1,FOODS_3_001,d_1934,2016-05-15,0.0,20160515
CA_1,FOODS_3_001,d_1935,2016-05-16,1.0,20160516
CA_1,FOODS_3_001,d_1936,2016-05-17,0.0,20160517
CA_1,FOODS_3_001,d_1937,2016-05-18,0.0,20160518
CA_1,FOODS_3_001,d_1938,2016-05-19,1.0,20160519
CA_1,FOODS_3_001,d_1939,2016-05-20,0.0,20160520
CA_1,FOODS_3_001,d_1940,2016-05-21,0.0,20160521
CA_1,FOODS_3_001,d_1941,2016-05-22,2.0,20160522
CA_1,FOODS_3_002,d_1914,2016-04-25,0.0,20160425
CA_1,FOODS_3_002,d_1915,2016-04-26,0.0,20160426
CA_1,FOODS_3_002,d_1916,2016-04-27,0.0,20160427
CA_1,FOODS_3_002,d_1917,2016-04-28,0.0,20160428
CA_1,FOODS_3_002,d_1918,2016-04-29,0.0,20160429
CA_1,FOODS_3_002,d_1919,2016-04-30,0.0,20160430
CA_1,FOODS_3_002,d_1920,2016-05-01,0.0,20160501
CA_1,FOODS_3_002,d_1921,2016-05-02,0.0,20160502
CA_1,FOODS_3_002,d_1922,2016-05-03,0.0,20160503
CA_1,FOODS_3_002,d_1923,2016-05-04,2.0,20160504
CA_1,FOODS_3_002,d_1924,2016-05-05,1.0,20160505
CA_1,FOODS_3_002,d_1925,2016-05-06,5.0,20160506
CA_1,FOODS_3_002,d_1926,2016-05-07,4.0,20160507
CA_1,FOODS_3_002,d_1927,2016-05-08,3.0,20160508
CA_1,FOODS_3_002,d_1928,2016-05-09,2.0,20160509
CA_1,FOODS_3_002,d_1929,2016-05-10,0.0,20160510
CA_1,FOODS_3_002,d_1930,2016-05-11,0.0,20160511
CA_1,FOODS_3_002,d_1931,2016-05-12,3.0,20160512
CA_1,FOODS_3_002,d_1932,2016-05-13,5.0,20160513
CA_1,FOODS_3_002,d_1933,2016-05-14,1.0,20160514
CA_1,FOODS_3_002,d_1934,2016-05-15,5.0,20160515
CA_1,FOODS_3_002,d_1935,2016-05-16,2.0,20160516
CA_1,FOODS_3_002,d_1936,2016-05-17,1.0,20160517
CA_1,FOODS_3_002,d_1937,2016-05-18,0.0,20160518
CA_1,FOODS_3_002,d_1938,2016-05-19,1.0,20160519
CA_1,FOODS_3_002,d_1939,2016-05-20,0.0,20160520
CA_1,FOODS_3_002,d_1940,2016-05-21,1.0,20160521
CA_1,FOODS_3_002,d_1941,2016-05-22,1.0,20160522
CA_1,FOODS_3_003,d_1914,2016-04-25,0.0,20160425
CA_1,FOODS_3_003,d_1915,2016-04-26,1.0,20160426
CA_1,FOODS_3_003,d_1916,2016-04-27,0.0,20160427
CA_1,FOODS_3_003,d_1917,2016-04-28,2.0,20160428
CA_1,FOODS_3_003,d_1918,2016-04-29,1.0,20160429
CA_1,FOODS_3_003,d_1919,2016-04-30,1.0,20160430
CA_1,FOODS_3_003,d_1920,2016-05-01,2.0,20160501
CA_1,FOODS_3_003,d_1921,2016-05-02,0.0,20160502
CA_1,FOODS_3_003,d_1922,2016-05-03,0.0,20160503
CA_1,FOODS_3_003,d_1923,2016-05-04,0.0,20160504
CA_1,FOODS_3_003,d_1924,2016-05-05,0.0,20160505
CA_1,FOODS_3_003,d_1925,2016-05-06,0.0,20160506
CA_1,FOODS_3_003,d_1926,2016-05-07,0.0,20160507
CA_1,FOODS_3_003,d_1927,2016-05-08,0.0,20160508
CA_1,FOODS_3_003,d_1928,2016-05-09,0.0,20160509
CA_1,FOODS_3_003,d_1929,2016-05-10,2.0,20160510
CA_1,FOODS_3_003,d_1930,2016-05-11,1.0,20160511
CA_1,FOODS_3_003,d_1931,2016-05-12,0.0,20160512
CA_1,FOODS_3_003,d_1932,2016-05-13,0.0,20160513
CA_1,FOODS_3_003,d_1933,2016-05-14,0.0,20160514
CA_1,FOODS_3_003,d_1934,2016-05-15,1.0,20160515
CA_1,FOODS_3_003,d_1935,2016-05-16,0.0,20160516
CA_1,FOODS_3_003,d_1936,2016-05-17,0.0,20160517
CA_1,FOODS_3_003,d_1937,2016-05-18,0.0,20160518
CA_1,FOODS_3_003,d_1938,2016-05-19,2.0,20160519
CA_1,FOODS_3_003,d_1939,2016-05-20,2.0,20160520
CA_1,FOODS_3_003,d_1940,2016-05-21,0.0,20160521
CA_1,FOODS_3_003,d_1941,2016-05-22,0.0,20160522
CA_1,FOODS_3_004,d_1914,2016-04-25,1.0,20160425
CA_1,FOODS_3_004,d_1915,2016-04-26,0.0,20160426
CA_1,FOODS_3_004,d_1916,2016-04-27,1.0,20160427
CA_1,FOODS_3_004,d_1917,2016-04-28,0.0,20160428
CA_1,FOODS_3_004,d_1918,2016-04-29,0.0,20160429
CA_1,FOODS_3_004,d_1919,2016-04-30,1.0,20160430
CA_1,FOODS_3_004,d_1920,2016-05-01,0.0,20160501
CA_1,FOODS_3_004,d_1921,2016-05-02,0.0,20160502
CA_1,FOODS_3_004,d_1922,2016-05-03,5.0,20160503
CA_1,FOODS_3_004,d_1923,2016-05-04,3.0,20160504
CA_1,FOODS_3_004,d_1924,2016-05-05,1.0,20160505
CA_1,FOODS_3_004,d_1925,2016-05-06,2.0,20160506
CA_1,FOODS_3_004,d_1926,2016-05-07,1.0,20160507
CA_1,FOODS_3_004,d_1927,2016-05-08,0.0,20160508
CA_1,FOODS_3_004,d_1928,2016-05-09,1.0,20160509
CA_1,FOODS_3_004,d_1929,2016-05-10,0.0,20160510
CA_1,FOODS_3_004,d_1930,2016-05-11,0.0,20160511
CA_1,FOODS_3_004,d_1931,2016-05-12,0.0,20160512
CA_1,FOODS_3_004,d_1932,2016-05-13,0.0,20160513
